Comment,Designator,Footprint,JLCPCB Part #（optional）
STM32F103ZET,U1,LQFP-144 ,C8287
EPM3064ATC44-7,U2,TQFP-44,C10042
SN74LVC8T245PWR,U4,TSSOP-24,C27643
SN74LVC8T245PWR,U5,TSSOP-24,C27643
SN74LVC8T245PWR,U6,TSSOP-24,C27643
SN74LVC8T245PWR,U7,TSSOP-24,C27643
SN74LVC8T245PWR,U8,TSSOP-24,C27643
SN74LVC8T245PWR,U9,TSSOP-24,C27643
CAP 0402 (22pF),C1,0402,C1555
CAP 0402 (22pF),C2,0403,C1555
CAP 0603 (22uF),C3,0603,C1952781
CAP 0603 (22uF),C4,0603,C1952781
CAP 0402 (0.1uF),C5,0402,C1525
CAP 0402 (0.1uF),C6,0402,C1525
CAP 0402 (0.1uF),C7,0402,C1525
CAP 0402 (0.1uF),C8,0402,C1525
CAP 0402 (0.1uF),C9,0402,C1525
CAP 0402 (0.1uF),C10,0402,C1525
CAP 0402 (0.1uF),C11,0402,C1525
CAP 0402 (0.1uF),C12,0402,C1525
CAP 0402 (0.1uF),C13,0402,C1525
CAP 0402 (0.1uF),C14,0402,C1525
CAP 0402 (0.1uF),C15,0402,C1525
CAP 0402 (0.1uF),C16,0402,C1525
CAP 0402 (0.1uF),C17,0402,C1525
CAP 0402 (0.1uF),C18,0402,C1525
CAP 0402 (0.1uF),C19,0402,C1525
CAP 0402 (0.1uF),C20,0402,C1525
CAP 0402 (0.1uF),C21,0402,C1525
CAP 0402 (0.1uF),C22,0402,C1525
CAP 0402 (0.1uF),C23,0402,C1525
CAP 0402 (0.1uF),C24,0402,C1525
CAP 0402 (0.1uF),C25,0402,C1525
CAP 0402 (0.1uF),C26,0402,C1525
CAP 0402 (0.1uF),C27,0402,C1525
CAP 0402 (0.1uF),C28,0402,C1525
CAP 0402 (0.1uF),C29,0402,C1525
CAP 0402 (0.1uF),C30,0402,C1525
CAP 0402 (0.1uF),C31,0402,C1525
CAP 0402 (0.1uF),C32,0402,C1525
RES 0402 (1K5),R1,0402,C25867
RES 0402 (1K5),R4,0402,C25867
RES 0402 (22),R2,0402,C25092
RES 0402 (22),R3,0402,C25092
RES 0402 (220),R5,0402,C1111
RES 0402 (220),R6,0402,C1111
RES 0402 (220),R7,0402,C1111
RES 0402 (220),R8,0402,C1111
RES 0402 (5K1),R9,0402,C25905
RES 0402 (5K1),R10,0402,C25905
USB TYPE-C,J2,SMD,C134111
NES EDGE SOCKET (72 pin),J6,"Plugin,P=2.54mm",C4831732
FAMICOM EDGE SOCKET (60 pin),J1,"Plugin,P=2.54mm",C5173310
LD1117S33CTR (3.3V),U3,SOT-223-4,C35879
2520 XTAL (16MHz),Y1,SMD2520,C194421
"LED 5R (5mm, round, green)",D1,"Plugin,D=5mm",C88163
"LED 5R (5mm, round, green)",D3,"Plugin,D=5mm",C88163
"LED 5R (5mm, round, red)",D2,"Plugin,D=5mm",C87271
"LED 5R (5mm, round, red)",D4,"Plugin,D=5mm",C87271
WS2812D-F8 (RGB),D5,"Plugin,D=8mm",C139126
